CVE-2015-7995,1.1.28-2,1.1.28-2.1,xsltStylePreCompute
CVE-2016-4738,1.1.29-1,1.1.29-2,xsltFormatNumberConversion
CVE-2017-5029,1.1.29-2,1.1.29-2.1,xsltAddTextString
