CVE-2017-9049,7,8,xmllint
CVE-2017-9050,7,8,xmlParseNameComplex
CVE-2017-9050,7,8,xmlGROW
CVE-2017-9050,7,8,xmllint
CVE-2017-7376,8,9,xmlNanoHTTPMethodRedir
CVE-2017-7376,8,9,xmlParse3986Port
CVE-2017-5130,9,10,xmlMemStrdupLoc
CVE-2017-5130,9,10,xmlMallocAtomicLoc
CVE-2017-5130,9,10,xmlReallocLoc
CVE-2017-5130,9,10,xmlMallocLoc
CVE-2017-16931,10,11,xmlParseNameComplex
CVE-2017-16931,10,11,xmlGROW
CVE-2017-16931,10,11,xmllint
CVE-2017-16932,10,11,xmlPushInput
CVE-2017-16932,10,11,xmlParsePEReference
CVE-2017-15412,11,12,xmlXPathCompOpEvalPositionalPredicate
