CVE-2017-15024,2.29,2.3,find_abstract_instance_name,scan_unit_for_symbols,,,,,,,,,,
CVE-2017-15023,2.29,2.3,read_formatted_entries,,,,,,,,,,,
CVE-2017-15022,2.29,2.3,scan_unit_for_symbols,parse_comp_unit,,,,,,,,,,
CVE-2017-15021,2.29,2.3,bfd_get_debug_link_info_1,,,,,,,,,,,
CVE-2017-15020,2.29,2.3,parse_die,parse_line_table,,,,,,,,,,
CVE-2017-14974,2.29,2.3,elf_i386_get_synthetic_symtab,elf_x86_64_get_synthetic_symtab,,,,,,,,,,
CVE-2017-14940,2.29,2.3,scan_unit_for_symbols,,,,,,,,,,,
CVE-2017-14939,2.29,2.3,decode_line_info,,,,,,,,,,,
CVE-2017-14938,2.29,2.3,_bfd_elf_slurp_version_tables,,,,,,,,,,,
CVE-2017-14934,2.29,2.3,process_debug_info,,,,,,,,,,,
CVE-2017-14933,2.29,2.3,read_formatted_entries,,,,,,,,,,,
CVE-2017-14932,2.29,2.3,decode_line_info,,,,,,,,,,,
CVE-2017-14930,2.29,2.3,decode_line_info,,,,,,,,,,,
CVE-2017-14745,2.29,2.3,elf_i386_get_synthetic_symtab,elf_x86_64_get_synthetic_symtab,,,,,,,,,,
CVE-2017-14729,2.29,2.3,elf_i386_get_synthetic_symtab,elf_x86_64_get_synthetic_symtab,,,,,,,,,,
CVE-2017-14529,2.29,2.3,pe_print_idata,,,,,,,,,,,
CVE-2017-14333,2.29,2.3,read_symbol_stabs_debugging_info,pr_int_type,pr_float_type,pr_bool_type,dump_section_as_strings,dump_section_as_bytes,process_version_sections,,,,,
CVE-2017-14130,2.29,2.3,_bfd_elf_parse_attributes,,,,,,,,,,,
CVE-2017-14129,2.29,2.3,read_section,,,,,,,,,,,
CVE-2017-14128,2.29,2.3,decode_line_info,,,,,,,,,,,
CVE-2017-13757,2.29,2.3,elf_i386_get_synthetic_symtab,elf_x86_64_get_synthetic_symtab,,,,,,,,,,
CVE-2017-13710,2.29,2.3,setup_group,,,,,,,,,,,
CVE-2017-12967,2.29,2.3,getsym,,,,,,,,,,,
CVE-2017-12799,2.29,2.3,elf_read_notes,,,,,,,,,,,
CVE-2017-12459,2.29,2.3,bfd_mach_o_read_symtab_strtab,nlm_swap_auxiliary_headers_in,bfd_make_section_with_flags,bfd_make_section_with_flags,evax_bfd_print_emh,,,,,,,
CVE-2017-12458,2.29,2.3,bfd_mach_o_read_symtab_strtab,nlm_swap_auxiliary_headers_in,bfd_make_section_with_flags,bfd_make_section_with_flags,evax_bfd_print_emh,,,,,,,
CVE-2017-12457,2.29,2.3,bfd_mach_o_read_symtab_strtab,nlm_swap_auxiliary_headers_in,bfd_make_section_with_flags,bfd_make_section_with_flags,evax_bfd_print_emh,,,,,,,
CVE-2017-12456,2.29,2.3,bfd_mach_o_canonicalize_relocs,bfd_mach_o_arm_canonicalize_one_reloc,bfd_mach_o_arm64_canonicalize_one_reloc,bfd_mach_o_i386_canonicalize_one_reloc,bfd_mach_o_x86_64_canonicalize_one_reloc,_bfd_vms_slurp_eihd,_bfd_vms_slurp_eeom,_bfd_vms_slurp_egsd,image_set_ptr,alpha_vms_slurp_relocs,,
CVE-2017-12455,2.29,2.3,bfd_mach_o_read_symtab_strtab,nlm_swap_auxiliary_headers_in,bfd_make_section_with_flags,bfd_make_section_with_flags,evax_bfd_print_emh,,,,,,,
CVE-2017-12454,2.29,2.3,bfd_mach_o_canonicalize_relocs,bfd_mach_o_arm_canonicalize_one_reloc,bfd_mach_o_arm64_canonicalize_one_reloc,bfd_mach_o_i386_canonicalize_one_reloc,bfd_mach_o_x86_64_canonicalize_one_reloc,_bfd_vms_slurp_eihd,_bfd_vms_slurp_eeom,_bfd_vms_slurp_egsd,image_set_ptr,alpha_vms_slurp_relocs,,
CVE-2017-12453,2.29,2.3,bfd_mach_o_canonicalize_relocs,bfd_mach_o_arm_canonicalize_one_reloc,bfd_mach_o_arm64_canonicalize_one_reloc,bfd_mach_o_i386_canonicalize_one_reloc,bfd_mach_o_x86_64_canonicalize_one_reloc,_bfd_vms_slurp_eihd,_bfd_vms_slurp_eeom,_bfd_vms_slurp_egsd,image_set_ptr,alpha_vms_slurp_relocs,,
