CVE-2017-13013,tcpdump_4.9.1,tcpdump_4.9.2,tpaddr_print_ip,atmarp_tpaddr_print,atmarp_print,,,,,,,,,,,
CVE-2017-13012,tcpdump_4.9.1,tcpdump_4.9.2,icmp_print,,,,,,,,,,,,,
CVE-2017-13011,tcpdump_4.9.1,tcpdump_4.9.2,bittok2str_internal,,,,,,,,,,,,,
CVE-2017-13010,tcpdump_4.9.1,tcpdump_4.9.2,l_strnstart,beep_print,,,,,,,,,,,,
CVE-2017-13009,tcpdump_4.9.1,tcpdump_4.9.2,mobility_print,,,,,,,,,,,,,
CVE-2017-13008,tcpdump_4.9.1,tcpdump_4.9.2,parse_elements,,,,,,,,,,,,,
CVE-2017-13007,tcpdump_4.9.1,tcpdump_4.9.2,pktap_if_print,,,,,,,,,,,,,
CVE-2017-13006,tcpdump_4.9.1,tcpdump_4.9.2,l2tp_msgtype_print,l2tp_result_code_print,l2tp_framing_cap_print,l2tp_bearer_cap_print,l2tp_bearer_type_print,l2tp_packet_proc_delay_print,l2tp_ppp_discon_cc_print,l2tp_avp_print,,,,,,
CVE-2017-13005,tcpdump_4.9.1,tcpdump_4.9.2,xid_map_enter,,,,,,,,,,,,,
CVE-2017-13004,tcpdump_4.9.1,tcpdump_4.9.2,juniper_parse_header,,,,,,,,,,,,,
CVE-2017-13003,tcpdump_4.9.1,tcpdump_4.9.2,lmp_print_data_link_subobjs,lmp_print,,,,,,,,,,,,
CVE-2017-13002,tcpdump_4.9.1,tcpdump_4.9.2,aodv_extension,,,,,,,,,,,,,
CVE-2017-13001,tcpdump_4.9.1,tcpdump_4.9.2,nfs_printfh,,,,,,,,,,,,,
CVE-2017-13000,tcpdump_4.9.1,tcpdump_4.9.2,ieee802_15_4_if_print,,,,,,,,,,,,,
CVE-2017-12999,tcpdump_4.9.1,tcpdump_4.9.2,isis_print,,,,,,,,,,,,,
CVE-2017-12998,tcpdump_4.9.1,tcpdump_4.9.2,isis_print_extd_ip_reach,,,,,,,,,,,,,
CVE-2017-12997,tcpdump_4.9.1,tcpdump_4.9.2,lldp_private_8021_print,,,,,,,,,,,,,
CVE-2017-12996,tcpdump_4.9.1,tcpdump_4.9.2,pimv2_print,,,,,,,,,,,,,
CVE-2017-12995,tcpdump_4.9.1,tcpdump_4.9.2,ns_nprint,,,,,,,,,,,,,
CVE-2017-12994,tcpdump_4.9.1,tcpdump_4.9.2,bgp_attr_print,,,,,,,,,,,,,
CVE-2017-12993,tcpdump_4.9.1,tcpdump_4.9.2,juniper_ggsn_print,juniper_es_print,juniper_monitor_print,juniper_services_print,juniper_pppoe_atm_print,juniper_atm1_print,juniper_atm2_print,juniper_parse_header,,,,,,
CVE-2017-12992,tcpdump_4.9.1,tcpdump_4.9.2,ripng_print,,,,,,,,,,,,,
CVE-2017-12991,tcpdump_4.9.1,tcpdump_4.9.2,bgp_attr_print,,,,,,,,,,,,,
CVE-2017-12990,tcpdump_4.9.1,tcpdump_4.9.2,ikev1_nonce_print,ikev1_n_print,ikev2_auth_print,ikev2_n_print,,,,,,,,,,
CVE-2017-12989,tcpdump_4.9.1,tcpdump_4.9.2,resp_get_length,,,,,,,,,,,,,
CVE-2017-12988,tcpdump_4.9.1,tcpdump_4.9.2,telnet_parse,,,,,,,,,,,,,
CVE-2017-12987,tcpdump_4.9.1,tcpdump_4.9.2,parse_elements,,,,,,,,,,,,,
